=================================  ==============================================================================================================================================================================================================================================================================================================================================================
scrappie                           1.4.1
*sdm_1d_calculate* ``restricted``  2.0.2(default)
*sdm_1d_plot* ``restricted``       0.0.4(default)
*sdm_2d_calculate* ``restricted``  2.0.2(default)
*sdm_2d_plot* ``restricted``       0.0.4(default)
seqgen                             1.3.4
seqtk                              1.3
shapeit                            v2_r837, v2_r904
shovill                            1.0.4
simnibs                            2.0.1g
simple                             2.1, 2.5
singlem                            0.12.1
singularity                        2.3.1, 2.4.2, 2.4.5, 2.5.2, 3.0, 3.0.1, 3.0.2, 3.1.0, 3.2.0, 3.2.1(default), d3d0f3fdc4390c7e14a6065543fc85dd69ba42b7
situs                              3.1
ska                                1.0-e1968f0
skesa                              2.2.1, 2.3
skewer                             20170212
slamdunk                           latest
slim                               3.2
slurm                              17.11.4
smafa                              0.5.0
smux                               0.0.1
snappy                             master, master-gcc4
snippy                             4.3.8
snp-dists                          0.6.3
snpeff                             4.3t
snpm                               13
soapdenovo2                        2.04-r241
sourcetracker                      2.0.1
spades                             3.12.0
sparseassembler                    1.0
sparsehash                         2.0.3
spectra                            0.8.1
spider                             21.11
spm12                              matlab2015b.r6685, matlab2018a.r6685, matlab2018a.r7487
spm8                               matlab2015b.r6685, matlab2017a.r6685
squashfs-tools                     4.3-0.21
squashfuse                         0.1.103
sra-tools                          2.7.0, 2.9.2, 2.9.4, 2.9.6
srst2                              0.2.0, 0.2.0-2019
stacks                             2.4
star                               2.5.2b
*stata* ``restricted``             14
stisuite                           3.0
strelka                            2.8.4
stringtie                          1.3.5, 1.3.6
structure                          2.3.4
subread                            1.5.1
subversion                         1.9.5
suitesparse                        5.4.0
superlu                            3.1
surfice                            7_feb_2017
svd                                1.4
swig                               3.0.12
synopsys                           3.1(default)
**T**                              .. _T:
tannertools                        2016.1, 2016.2
tapsim                             v1.0b_r766
tbb                                20180312oss
tempest                            1.5
tensorflow                         1.0.0-python2.7.12-gcc5, 1.10.0-pytorch, 1.10.0-pytorch-all, 1.10.0-pytorch-keras, 1.12.0-python2.7.12-gcc5, 1.12.0-python3.6-gcc5, 1.13.1-gdal, 1.14.0-keras, 1.3.0-python2.7.12-gcc5, 1.4.0-python2.7.12-gcc5, 1.4.0-python3.6-gcc5, 2.0.0-beta1
terastitcher                       20171106
texlive                            2017
tiff                               4.0.8
tigervnc                           1.8.0
tmap                               3.0.1
toothmaker                         0.64
topaz                              1.0
tophat                             2.1.1
tracer                             1.6
trackvis                           0.6.1
trim_galore                        0.4.5, 0.5.0
trimmomatic                        0.38
turbovnc                           2.0.2(default), 2.1.0
tvips-tools                        0.0.3
**U**                              .. _U:
ucsc-genome-tools                  201806
umap                               0.3.8
umi-tools                          0.5.5-python2, 0.5.5-python3
unblur                             1.0.2
underworld                         2.3.0
unicycler                          0.4.7
unimelb-mf-clients                 0.2.7
unrar                              5.0
**V**                              .. _V:
valgrind                           3.13
varscan                            2.3.9
*vasp* ``restricted``              5.4.4
vcftools                           0.1.15
vdjtools                           1.2.1
vegas2                             v02
velvet                             1.2.10, 1.2.10-modified
vep                                90(default), 94
vigra                              1.9.0
vim                                8.0.0596
virtualgl                          2.5.0(default), 2.5.2
visit                              2.12.3
vmd                                1.9.3, 1.9.4
volview                            3.4
voro++                             0.4.6
vsearch                            2.13.6
vt                                 0.57
vtk                                5.10.1, 5.10.1-gcc4, 7.0.0, 7.0.0-gcc5
**W**                              .. _W:
wasp                               0.3.0
wfu_pickatlas                      3.0.5b
workspace                          4.0.2
wxgtk                              3.0.2
wxwidgets                          3.0.3
**X**                              .. _X:
xds                                20170302, monash(default), mxbeamteam
xjview                             9.0, 9.6
xnat-desktop                       0.96
xnat-utils                         0.2.1, 0.2.5, 0.2.6, 0.4.5, 0.4.6, 0.4.9
xvfb                               1.19.3
**Y**                              .. _Y:
yade                               1.20.0-cpu, 1.20.0-gpu, 2019-06-20, 2019-06-20-cpu, yade-daily-may-2019
yasm                               1.2.0-4
**Z**                              .. _Z:
zetastitcher                       0.3.3
zlib                               1.2.11
zoem                               11-166
zstd                               1.4.0
=================================  ==============================================================================================================================================================================================================================================================================================================================================================
